Id,BldgType,LotArea,GrLivArea,YearBuilt,YrSold,SalePrice
108,1Fam,6000,,1948,2008,115000
109,1Fam,8500,1517,1919,2007,115000
111,1Fam,9525,,1954,2006,136900
113,1Fam,9965,2696,2007,2007,383970
114,1Fam,21000,2259,1953,2007,217000
115,1Fam,7259,2320,1945,2007,259500
116,TwnhsE,3230,1458,1999,2007,176000
117,1Fam,11616,1092,1962,2009,139000
118,1Fam,8536,,2006,2007,155000
120,1Fam,8461,1456,2005,2006,163990
121,1Fam,21453,988,1969,2006,180000
122,1Fam,6060,1123,1939,2007,100000
123,1Fam,9464,1080,1958,2008,136000
124,TwnhsE,7892,,1993,2008,153900
125,1Fam,17043,,1979,2009,181000
126,2fmCon,6780,,1935,2006,84500
127,TwnhsE,4928,958,1976,2007,128000
128,1Fam,4388,840,1930,2007,87000
129,1Fam,7590,1348,1966,2006,155000
130,1Fam,8973,,1958,2006,150000
131,1Fam,14200,,1966,2006,226000
132,1Fam,12224,,2000,2009,244000
133,1Fam,7388,1327,1959,2007,150750
134,1Fam,6853,,2001,2009,220000
135,1Fam,10335,1721,1968,2006,180000
136,1Fam,10400,1682,1970,2008,174000
137,1Fam,10355,1214,1967,2007,143000
138,Duplex,11070,1959,1988,2006,171000
139,1Fam,9066,1852,1999,2008,230000
140,1Fam,15426,1764,1997,2009,231500
142,1Fam,11645,1734,2005,2006,260000
144,1Fam,10335,1501,1999,2009,204000
145,Duplex,9100,1728,1963,2006,125000
146,Twnhs,2522,1709,2004,2006,130000
147,1Fam,6120,,1931,2009,105000
149,1Fam,7500,1080,2004,2008,141000
150,1Fam,6240,1344,1936,2006,115000
151,1Fam,10356,969,1975,2007,122000
152,1Fam,13891,1710,2007,2008,372402
153,1Fam,14803,1993,1971,2006,190000
154,1Fam,13500,1252,1960,2008,235000
155,1Fam,11340,1200,1923,2006,125000
156,1Fam,9600,1096,1924,2008,79000
157,1Fam,7200,1040,1950,2006,109500
160,1Fam,19378,2462,2005,2006,320000
161,1Fam,11120,1232,1984,2008,162500
162,1Fam,13688,2668,2003,2008,412500
164,1Fam,5500,882,1956,2007,103200
165,1Fam,5400,1616,1926,2007,152000
166,2fmCon,10106,1355,1940,2008,127500
167,1Fam,10708,1867,1955,2009,190000
168,1Fam,10562,2161,2007,2007,325624
169,1Fam,8244,1720,2004,2007,183500
170,1Fam,16669,,1981,2006,228000
171,1Fam,12358,1382,1941,2007,128500
173,TwnhsE,5306,1767,1987,2006,239000
174,1Fam,10197,,1961,2008,163000
175,1Fam,12416,1651,1986,2008,184000
176,1Fam,12615,2158,1950,2007,243000
177,1Fam,10029,2060,1988,2007,211000
178,1Fam,13650,1920,1958,2006,172500
179,1Fam,17423,2234,2008,2009,501837
180,1Fam,8520,968,1923,2007,100000
181,Twnhs,2117,1525,2000,2007,177000
182,1Fam,7588,1802,1920,2006,200100
183,1Fam,9060,1340,1957,2007,120000
184,1Fam,11426,2082,2003,2008,200000
185,1Fam,7438,1252,1908,2006,127000
186,1Fam,22950,3608,1892,2006,475000
187,1Fam,9947,1217,1990,2009,173000
188,1Fam,10410,1656,1916,2009,135000
189,Duplex,7018,,1979,2009,153337
190,TwnhsE,4923,,2001,2008,286000
191,1Fam,10570,2727,1932,2007,315000
192,1Fam,7472,,1972,2007,184000
193,1Fam,9017,1431,1999,2009,192000
194,Twnhs,2522,,2004,2006,130000
195,1Fam,7180,864,1972,2008,127000
196,Twnhs,2280,,1976,2009,148500
197,1Fam,9416,1726,2007,2007,311872
198,1Fam,25419,3112,1918,2006,235000
199,1Fam,5520,,1912,2009,104000
200,1Fam,9591,1713,2004,2009,274900
202,1Fam,10125,,1977,2008,171500
203,1Fam,7000,1310,1924,2006,112000
204,TwnhsE,4438,848,2004,2008,149000
205,1Fam,3500,1284,1947,2009,110000
206,1Fam,11851,1442,1990,2009,180500
207,1Fam,13673,1696,1962,2007,143900
208,1Fam,12493,1100,1960,2008,141000
209,1Fam,14364,2062,1988,2007,277000
210,1Fam,8250,1092,1964,2008,145000
211,1Fam,5604,864,1925,2008,98000
213,1Fam,8640,1852,2009,2009,252678
214,1Fam,13568,990,1995,2006,156000
216,1Fam,10011,,1957,2006,134450
217,1Fam,8450,1436,2004,2008,210000
218,1Fam,9906,1328,1925,2006,107000
219,1Fam,15660,1954,1939,2008,311500
220,TwnhsE,3010,1248,2005,2006,167240
221,1Fam,8990,1498,2006,2006,204900
222,1Fam,8068,2267,2002,2009,200000
223,1Fam,11475,1552,1975,2006,179900
224,1Fam,10500,864,1971,2009,97000
225,1Fam,13472,2392,2003,2009,386250
226,Twnhs,1680,1302,1971,2009,112000
227,1Fam,9950,2520,1995,2007,290000
228,Twnhs,1869,987,1970,2008,106000
230,TwnhsE,3182,,2005,2009,192500
232,1Fam,15138,,1995,2009,403000
233,Twnhs,1680,987,1972,2006,94500
236,TwnhsE,1680,987,1971,2008,89500
239,1Fam,12030,1694,2007,2007,318000
242,1Fam,3880,,1945,2007,110500
243,1Fam,5000,1440,1900,2006,79000
244,TwnhsE,10762,1217,1980,2009,120000
246,1Fam,10400,,1988,2006,241500
247,2fmCon,9142,1928,1910,2006,137000
248,1Fam,11310,1375,1954,2006,140000
249,1Fam,11317,1668,2003,2007,180000
250,1Fam,159000,2144,1958,2007,277000
252,TwnhsE,4750,1625,2006,2007,235000
253,1Fam,8366,,2004,2008,173000
254,1Fam,9350,1302,1964,2007,158000
256,1Fam,8738,2291,1999,2006,230000
257,1Fam,8791,1728,2003,2008,207500
258,1Fam,8814,1604,2006,2009,220000
259,1Fam,12435,1792,2001,2008,231500
260,1Fam,12702,882,1956,2008,97000
261,1Fam,19296,1382,1962,2009,176000
262,1Fam,9588,2574,2007,2007,276000
263,1Fam,8471,1212,1977,2006,151000
265,1Fam,5232,764,1925,2008,73000
266,1Fam,12090,1422,1981,2008,175500
267,1Fam,11207,,1997,2006,185000
268,1Fam,8400,2192,1939,2008,179500
269,1Fam,6900,778,1940,2008,120500
270,1Fam,7917,1113,1976,2007,148000
271,1Fam,10728,1939,2006,2006,266000
272,1Fam,39104,1363,1954,2008,241500
274,1Fam,9600,1632,1958,2009,139000
275,1Fam,8314,,1982,2007,124500
276,1Fam,7264,1548,1925,2009,205000
279,1Fam,14450,2121,2006,2007,415298
280,1Fam,10005,2022,1977,2008,192000
281,1Fam,11287,1982,1989,2007,228500
282,1Fam,7200,1262,2006,2006,185000
283,Twnhs,5063,1314,2007,2009,207500
284,1Fam,9612,1468,2008,2009,244600
285,TwnhsE,8012,1575,1992,2007,179200
286,TwnhsE,4251,1250,2006,2007,164700
287,1Fam,9786,1734,1962,2006,159000
288,1Fam,8125,858,1971,2006,88000
290,1Fam,8730,1396,1915,2007,153575
291,1Fam,15611,1919,2006,2006,233230
292,2fmCon,5687,1716,1912,2008,135900
293,1Fam,11409,1716,1949,2009,131000
294,1Fam,16659,2263,1977,2006,235000
295,1Fam,9600,1644,1953,2009,167000
296,1Fam,7937,,1984,2006,142500
297,1Fam,13710,1558,1950,2007,152000
298,1Fam,7399,,1997,2007,239000
299,1Fam,11700,1743,1968,2007,175000
300,1Fam,14000,1152,1950,2009,158500
301,2fmCon,15750,1336,1953,2006,157000
302,1Fam,16226,2452,1998,2007,267000
303,1Fam,13704,1541,2001,2006,205000
304,1Fam,9800,894,1972,2006,149900
305,1Fam,18386,3493,1880,2008,295000
306,1Fam,10386,2000,2004,2007,305900
307,1Fam,13474,2243,1990,2007,225000
308,1Fam,7920,1406,1920,2008,89500
309,1Fam,12342,861,1940,2009,82500
310,1Fam,12378,1944,2003,2006,360000
311,1Fam,7685,1501,1993,2006,165600
312,1Fam,8000,972,1948,2009,132000
313,2fmCon,7800,,1939,2006,119900
314,1Fam,215245,2036,1965,2009,375000
315,1Fam,9600,1641,1925,2006,178000
316,1Fam,7795,,2004,2009,188500
317,1Fam,13005,2353,1980,2009,260000
318,1Fam,9000,1959,2006,2007,270000
319,1Fam,9900,2646,1993,2009,260000
320,1Fam,14115,1472,1980,2009,187500
321,1Fam,16259,2596,2006,2006,342643
322,1Fam,12099,,2004,2007,354000
323,1Fam,10380,2730,1986,2007,301000
324,1Fam,5820,1163,1955,2006,126175
326,1Fam,5000,803,1941,2007,87000
327,TwnhsE,10846,,1993,2008,324000
328,1Fam,11600,1383,1960,2006,145250
329,1Fam,11888,2134,1916,2009,214500
330,1Fam,6402,1192,1920,2009,78000
331,Duplex,10624,1728,1964,2007,119000
332,1Fam,8176,1056,1958,2007,139000
333,1Fam,10655,1629,2003,2009,284000
334,TwnhsE,8198,,2004,2008,207000
335,1Fam,9042,1638,1998,2008,192000
336,2fmCon,164660,1786,1965,2008,228950
337,1Fam,14157,1922,2005,2007,377426
338,1Fam,9135,1536,2002,2008,214000
339,1Fam,14145,1621,1984,2006,202500
340,1Fam,12400,,1958,2009,155000
342,1Fam,8400,841,1950,2009,82000
343,Duplex,8544,1040,1949,2006,87500
344,TwnhsE,8849,,2005,2008,266000
346,1Fam,6435,1577,1939,2006,140200
347,1Fam,12772,958,1960,2007,151500
348,1Fam,17600,1478,1960,2009,157500
349,Twnhs,2448,1626,2003,2008,154000
350,1Fam,20431,,2005,2006,437154
351,TwnhsE,7820,1869,2007,2007,318061
352,1Fam,5271,,1986,2006,190000
353,1Fam,9084,1111,1941,2008,95000
355,1Fam,8400,1595,1940,2006,140000
356,1Fam,11249,1200,1995,2007,177500
357,1Fam,9248,1167,1992,2009,173000
358,TwnhsE,4224,,1976,2007,134000
359,1Fam,6930,1352,1958,2006,130000
360,1Fam,12011,,1998,2006,280000
361,1Fam,7540,912,1978,2007,156000
362,1Fam,9144,1505,1940,2008,145000
363,1Fam,7301,1922,2003,2009,198500
364,Twnhs,1680,987,1972,2009,118000
365,1Fam,18800,1574,1976,2006,190000
366,1Fam,10690,,1920,2009,147000
367,1Fam,9500,1394,1963,2009,159000
368,1Fam,9150,1431,1962,2008,165000
371,1Fam,8121,1664,2000,2006,172400
372,1Fam,17120,1588,1959,2008,134432
374,1Fam,10634,1319,1953,2009,123000
375,1Fam,8200,1928,2003,2007,219500
376,1Fam,10020,904,1922,2009,61000
377,1Fam,8846,914,1996,2006,148000
378,1Fam,11143,2466,2004,2007,340000
380,1Fam,8123,1800,2000,2009,179000
382,1Fam,7200,1301,2006,2006,187750
383,1Fam,9245,1797,2006,2007,213500
384,1Fam,9000,784,1928,2009,76000
385,1Fam,53107,1953,1992,2007,240000
387,1Fam,8410,1184,1910,2006,81000
388,1Fam,7200,1125,1976,2009,125000
389,1Fam,9382,1479,1999,2008,191000
390,1Fam,12474,,2007,2008,426000
391,1Fam,8405,1367,1900,2008,119000
392,1Fam,12209,1961,2001,2009,215000
393,1Fam,8339,882,1959,2007,106500
394,1Fam,7446,788,1941,2006,100000
395,1Fam,10134,1034,1940,2007,109000
397,1Fam,7200,894,1972,2009,123000
398,1Fam,7590,1812,1962,2007,169500
399,1Fam,8967,1077,1920,2007,67000
400,1Fam,8125,1550,2006,2009,241000
401,TwnhsE,14963,1288,1996,2008,245500
402,1Fam,8767,1310,2005,2006,164990
403,1Fam,10200,672,1940,2008,108000
404,1Fam,12090,2263,1998,2006,258000
405,1Fam,10364,1572,1995,2007,168000
406,1Fam,9991,1620,1976,2009,150000
407,1Fam,10480,,1936,2008,115000
408,1Fam,15576,1680,1915,2008,177000
409,1Fam,14154,2172,2006,2007,280000
410,1Fam,10800,2078,2007,2008,339750
411,1Fam,9571,1276,1958,2009,60000
412,2fmCon,34650,1056,1955,2006,145000
415,1Fam,11228,2097,1993,2008,228000
416,1Fam,8899,1340,2007,2007,181134
417,1Fam,7844,1400,1978,2006,149500
418,1Fam,22420,2624,1918,2007,239000
419,1Fam,8160,1134,1940,2007,126000
421,Duplex,7060,1344,1997,2008,206300
422,1Fam,16635,1602,1977,2009,215000
423,1Fam,21750,988,1954,2008,113000
424,1Fam,9200,,1998,2008,315000
425,1Fam,9000,,1956,2008,139000
426,1Fam,3378,1389,1946,2009,135000
427,1Fam,12800,1644,1989,2009,275000
428,1Fam,8593,907,1957,2008,109008
429,1Fam,6762,1208,2007,2007,195400
430,1Fam,11457,1412,1988,2009,175000
431,Twnhs,1680,987,1971,2008,85400
432,1Fam,5586,1198,1920,2008,79900
433,TwnhsE,1920,1365,1971,2007,122500
434,1Fam,10839,1604,1997,2008,181000
435,Twnhs,1890,630,1972,2008,81000
436,1Fam,10667,1661,1996,2009,212000
437,1Fam,4400,1118,1920,2006,116000
438,1Fam,6000,,1926,2009,119000
439,1Fam,4280,694,1913,2007,90350
440,1Fam,12354,,1920,2009,110000
441,1Fam,15431,2402,2008,2009,555000
442,Duplex,12108,1440,1955,2008,118000
443,1Fam,6240,1573,1930,2008,162900
444,TwnhsE,3922,1258,2006,2007,172500
445,1Fam,8750,1908,1994,2008,210000
446,1Fam,9855,1689,1956,2009,127500
448,1Fam,11214,1886,1998,2006,199900
449,1Fam,8600,1376,1937,2006,119500
450,1Fam,6000,1183,1948,2007,120000
451,1Fam,5684,813,1930,2006,110000
452,1Fam,70761,1533,1975,2006,280000
453,1Fam,9303,1756,1996,2007,204000
454,1Fam,9000,1590,2008,2009,210000
455,Duplex,9297,,1976,2006,188000
456,1Fam,9600,1242,1973,2007,175500
457,1Fam,4571,1344,1916,2008,98000
458,1Fam,53227,1663,1954,2008,256000
459,1Fam,5100,1666,1925,2008,161000
460,1Fam,7015,1203,1950,2009,110000
461,1Fam,8004,1935,2009,2009,263435
462,1Fam,7200,1135,1936,2009,155000
463,1Fam,8281,864,1965,2009,62383
464,1Fam,11988,,1934,2008,188700
465,1Fam,8430,1040,1978,2009,124000
466,TwnhsE,3072,1414,2004,2006,178740
467,1Fam,10628,1277,1970,2007,167000
468,1Fam,9480,1644,1942,2007,146500
469,1Fam,11428,1634,2006,2007,250000
470,1Fam,9291,,1993,2008,187000
472,1Fam,11952,,1977,2007,190000
473,TwnhsE,3675,1072,2005,2008,148000
474,1Fam,14977,1976,2006,2007,440000
475,TwnhsE,5330,1652,2000,2007,251000
476,1Fam,8480,970,1963,2007,132500
477,1Fam,13125,1493,1997,2008,208900
478,1Fam,13693,,2006,2007,380000
479,1Fam,10637,1718,2007,2009,297000
480,1Fam,5925,1131,1937,2007,89471
481,1Fam,16033,1850,2004,2006,326000
482,1Fam,11846,1792,2003,2006,374000
483,1Fam,2500,1826,1915,2009,155000
484,Twnhs,4500,1216,1998,2006,164000
485,1Fam,7758,999,1962,2007,132500
486,1Fam,9600,1113,1950,2009,147000
487,1Fam,10289,1073,1965,2007,156000
488,1Fam,12243,1484,1971,2007,175000
489,2fmCon,10800,2414,1900,2006,160000
490,Twnhs,1526,630,1970,2009,86000
491,TwnhsE,2665,,1976,2008,115000
492,1Fam,9490,1578,1941,2006,133000
493,1Fam,15578,1456,2006,2006,172785
494,1Fam,7931,1269,1960,2008,155000
495,1Fam,5784,886,1938,2009,91300
496,1Fam,7879,720,1920,2009,34900
497,1Fam,12692,3228,1992,2007,430000
498,1Fam,9120,1820,1925,2008,184000
499,1Fam,7800,899,1967,2009,130000
500,1Fam,7535,912,1958,2007,120000
501,Twnhs,1890,,1973,2007,113000
502,1Fam,9803,1768,2005,2008,226700
503,1Fam,9170,1214,1965,2007,140000
505,TwnhsE,2308,1322,1974,2009,147000
506,Duplex,7596,1960,1952,2009,124500
507,1Fam,9554,,1993,2006,215000
508,1Fam,7862,,2009,2009,208300
509,1Fam,9600,1378,1928,2008,161000
510,1Fam,9600,1041,1959,2009,124500
511,1Fam,14559,1363,1951,2009,164900
512,TwnhsE,6792,1368,2005,2006,202665
513,1Fam,9100,864,1958,2006,129900
514,1Fam,9187,,1983,2007,134000
515,1Fam,10594,,1926,2007,96500
516,1Fam,12220,2020,2009,2009,402861
517,1Fam,10448,2119,1972,2009,158000
518,1Fam,10208,,1996,2009,265000
519,1Fam,9531,1796,1998,2007,211000
520,1Fam,10918,2080,1926,2009,234000
521,2fmCon,10800,1294,1900,2008,106250
522,1Fam,11988,1244,1957,2007,150000
523,1Fam,5000,1664,1947,2006,159000
524,1Fam,40094,4676,2007,2007,184750
525,1Fam,11787,2398,1996,2007,315750
526,1Fam,7500,1266,2005,2006,176000
527,1Fam,13300,,1956,2007,132000
528,1Fam,14948,,2008,2008,446261
529,1Fam,9098,605,1920,2007,86000
530,1Fam,32668,2515,1957,2007,200624
531,1Fam,10200,,1988,2008,175000
532,1Fam,6155,,1920,2008,128000
534,1Fam,5000,334,1946,2007,39300
535,1Fam,9056,,2004,2006,178000
536,2fmCon,7000,,1910,2008,107500
537,1Fam,8924,1724,1998,2008,188000
538,1Fam,12735,864,1972,2008,111250
539,1Fam,11553,1159,1968,2006,158000
541,1Fam,14601,1838,2006,2009,315000
542,1Fam,11000,2285,2000,2007,248000
543,1Fam,10140,1680,1998,2009,213250
544,TwnhsE,4058,767,1998,2007,133000
545,1Fam,17104,1496,2006,2006,179665
546,1Fam,13837,2183,1988,2006,229000
547,1Fam,8737,,1923,2007,210000
548,1Fam,7244,,1970,2007,129500
549,1Fam,8235,825,1955,2008,125000
550,1Fam,9375,2094,2003,2009,263000
551,TwnhsE,4043,,1977,2008,140000
552,1Fam,6000,,1957,2008,112500
553,1Fam,11146,1717,2006,2009,255500
554,1Fam,8777,1126,1949,2009,108000
555,1Fam,10625,2046,2003,2008,284000
556,1Fam,6380,1048,1922,2006,113000
557,1Fam,14850,,1957,2006,141000
558,1Fam,11040,1336,1920,2006,108000
559,1Fam,21872,1446,1996,2008,175000
560,TwnhsE,3196,1557,2003,2006,234000
562,1Fam,10010,1389,1974,2006,170000
563,1Fam,13907,,1940,2008,108000
564,1Fam,21780,,1918,2008,185000
565,1Fam,13346,2295,1992,2006,268000
567,1Fam,11198,,2005,2008,325000
569,1Fam,12327,2132,1983,2009,316600
570,Duplex,7032,943,1979,2006,135960
571,Duplex,13101,1728,1965,2008,142600
572,1Fam,7332,864,1959,2006,120000
573,1Fam,13159,1692,2009,2009,224500
574,1Fam,9967,1430,2000,2007,170000
575,1Fam,10500,,1971,2007,139000
576,1Fam,8480,,1947,2008,118500
577,1Fam,6292,1477,1928,2009,145000
578,1Fam,11777,1320,1966,2006,164500
579,TwnhsE,3604,1392,2007,2008,146000
580,1Fam,12150,1795,1954,2008,131500
581,1Fam,14585,,1960,2007,181900
582,1Fam,12704,2042,2008,2009,253293
583,Duplex,11841,816,1990,2007,118500
584,1Fam,13500,2775,1893,2008,325000
585,1Fam,6120,1573,1935,2009,133000
586,1Fam,11443,,2005,2006,369900
587,1Fam,10267,838,1918,2008,130000
588,1Fam,8740,860,1982,2009,137000
589,1Fam,25095,1473,1968,2009,143000
590,1Fam,9100,935,1930,2008,79500
591,1Fam,8320,1582,2004,2008,185900
592,1Fam,13478,2296,2008,2009,451950
593,1Fam,6600,816,1982,2008,138000
594,TwnhsE,4435,848,2003,2009,140000
595,1Fam,7990,924,1975,2008,110000
596,1Fam,11302,1826,2005,2006,319000
597,1Fam,3600,1368,1910,2006,114504
598,TwnhsE,3922,1402,2006,2007,194201
599,1Fam,12984,,1977,2006,217500
600,Twnhs,1950,,1980,2008,151000
601,1Fam,10927,,2005,2006,275000
602,1Fam,9000,1375,1937,2007,141000
603,1Fam,10041,1915,1992,2006,220000
605,1Fam,12803,1494,2002,2008,221000
606,1Fam,13600,,1965,2009,205000
607,1Fam,12464,1040,1996,2009,152000
608,1Fam,7800,2008,1948,2006,225000
609,1Fam,12168,,1934,2007,359100
610,1Fam,7943,1029,1961,2007,118500
611,1Fam,11050,,2000,2009,313000
612,1Fam,10395,1032,1978,2007,148000
613,1Fam,11885,1872,2001,2009,261500
614,1Fam,8402,1120,2007,2007,147000
617,1Fam,7861,1509,2002,2006,183200
618,1Fam,7227,,1954,2008,105500
619,1Fam,11694,,2007,2007,314813
620,1Fam,12244,,2003,2008,305000
621,1Fam,8248,864,1914,2008,67000
622,1Fam,10800,2614,1974,2008,240000
623,1Fam,7064,,1977,2009,135000
624,TwnhsE,2117,,2000,2007,168500
625,1Fam,10400,1790,1972,2006,165150
627,1Fam,12342,1422,1960,2007,139900
629,1Fam,11606,2080,1969,2007,135000
630,1Fam,9020,1350,1964,2008,168500
631,1Fam,9000,1750,1880,2006,124000
632,Twnhs,4590,,2006,2007,209500
633,1Fam,11900,1411,1977,2009,82500
634,1Fam,9250,1056,1954,2007,139400
636,2fmCon,10896,3395,1914,2007,200000
637,1Fam,6120,800,1936,2009,60000
638,2fmCon,6000,1387,1954,2009,93000
639,1Fam,8777,796,1910,2008,85000
640,TwnhsE,3982,,2006,2006,264561
641,TwnhsE,12677,,2003,2008,274000
642,1Fam,7050,1929,2001,2007,226000
643,1Fam,13860,2704,1972,2009,345000
644,1Fam,10793,1620,1969,2007,152000
645,1Fam,9187,,2009,2009,370878
646,1Fam,10530,981,1971,2007,143250
647,1Fam,7200,,1950,2008,98300
648,1Fam,10452,1094,1953,2008,155000
650,Twnhs,1936,630,1970,2007,84500
651,1Fam,8125,1665,2007,2008,205950
652,1Fam,9084,1510,1940,2009,108000
653,1Fam,8750,1716,1996,2009,191000
654,1Fam,10320,,1906,2008,135000
655,1Fam,10437,,1995,2008,350000
657,1Fam,10007,,1959,2008,145500
658,1Fam,7200,1502,1931,2008,149000
660,1Fam,9937,,1964,2009,167000
661,1Fam,12384,1935,1976,2007,197900
662,1Fam,46589,,1994,2009,402000
663,1Fam,13560,,1968,2009,110000
664,1Fam,10012,,1972,2008,137500
665,1Fam,20896,,2005,2006,423000
666,1Fam,11194,1936,2000,2006,230500
667,1Fam,18450,2380,1965,2007,129000
668,1Fam,8125,1679,1994,2008,193500
669,1Fam,14175,1437,1956,2006,168000
670,1Fam,11600,1180,1922,2006,137500
671,1Fam,8633,,2005,2009,173500
672,1Fam,6629,1369,1925,2009,103600
673,1Fam,11250,1208,1977,2006,165000
674,1Fam,14442,1839,1957,2007,257500
675,1Fam,9200,1136,1965,2008,140000
676,Twnhs,2289,1441,1978,2009,148500
677,1Fam,9600,1774,1900,2006,87000
678,1Fam,9022,792,1924,2009,109500
679,1Fam,11844,2046,2008,2009,372500
680,1Fam,9945,988,1961,2007,128500
682,1Fam,4500,1520,1932,2009,159434
683,1Fam,2887,1291,1996,2008,173000
684,1Fam,11248,1668,2002,2007,285000
686,TwnhsE,5062,2090,1984,2007,207500
687,1Fam,10207,1761,2007,2007,227875
688,TwnhsE,5105,1102,2004,2007,148800
689,1Fam,8089,1419,2007,2007,392000
690,TwnhsE,7577,1362,2005,2007,194700
691,TwnhsE,4426,848,2004,2008,141000
692,1Fam,21535,4316,1994,2007,755000
693,1Fam,26178,2519,1989,2006,335000
694,1Fam,5400,1073,1921,2006,108480
695,1Fam,6120,1539,1936,2009,141500
696,1Fam,13811,1137,1987,2006,176000
697,1Fam,6000,616,1921,2006,89000
698,1Fam,6420,1148,1952,2006,123500
700,TwnhsE,4282,1391,2004,2008,196000
701,1Fam,14331,,2002,2006,312500
702,1Fam,9600,1164,1969,2006,140000
703,1Fam,12438,2576,2006,2006,361919
707,1Fam,115149,1824,1971,2007,302000
708,TwnhsE,6240,,2006,2009,254000
709,1Fam,9018,1456,2007,2007,179540
710,1Fam,7162,904,1966,2008,109900
711,1Fam,4130,729,1935,2008,52000
713,TwnhsE,4671,1228,1988,2008,189000
714,2fmCon,9873,960,1970,2006,129000
716,1Fam,10140,1350,1974,2009,165000
717,1Fam,10800,2554,1890,2007,159500
718,1Fam,10000,1178,1973,2008,157000
719,1Fam,10542,2418,1993,2008,341000
720,1Fam,9920,971,1969,2006,128500
721,1Fam,6563,1742,1985,2006,275000
723,1Fam,8120,,1970,2009,124500
724,1Fam,8172,1470,1954,2008,135000
725,1Fam,13286,1698,2007,2009,320000
726,1Fam,6960,864,1970,2009,120500
727,1Fam,21695,1680,1988,2009,222000
728,1Fam,7314,,2007,2009,194500
729,Duplex,11475,1776,1958,2009,110000
730,1Fam,6240,1208,1925,2009,103000
